winning_agent,winning_bid_value,winner_aggregated_signal,signal_max,Profit,Probability,efficiency,auction_time,N,A,L,S,B,Delay
2.0,0.14029805464904022,0.1469340002314246,0.14756002927363446,0.006635945582384395,0.8,0.9507863026299102,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
5.0,0.25881743822160513,0.2654840494041041,0.26802846063307406,0.006666611182498949,0.8,0.9656341629179498,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
9.0,0.07913199699682268,0.08573072070573098,0.0864262401130039,0.006598723708908308,0.8,0.915601522099725,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
2.0,0.273273919521026,0.27971522093918283,0.2803150304431551,0.006441301418156853,0.8,0.9748814363931977,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
3.0,0.17141525988492953,0.17802454511585622,0.1781789819931247,0.006609285230926687,0.8,0.9620397308788297,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
4.0,0.6405125624414137,0.6470718768980004,0.6544986210818906,0.00655931445658664,0.8,0.9786308814259107,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
3.0,0.1475796076711894,0.15414486251115622,0.16159087240842485,0.006565254839966811,0.8,0.9132917315909922,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
6.0,0.1937429403578578,0.20026845774700364,0.20520031994125254,0.006525517389145835,0.8,0.9441649039013442,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
6.0,0.12237972303610631,0.12913654606935096,0.12918742719540038,0.006756823033244652,0.8,0.9473036633123966,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
0.0,0.03614240925001734,0.04283749162559539,0.0433703081716892,0.006695082375578053,0.8,0.8333445339364683,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
4.0,0.26587194182310314,0.2723973562372805,0.2740359573312973,0.006525414414177366,0.8,0.9702082325702819,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
7.0,0.09754556075983614,0.10397465814051261,0.10838215459957522,0.006429097380676471,0.8,0.9000149620592471,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
3.0,0.04257372257643619,0.04904881512108142,0.0512828971752717,0.0064750925446452265,0.8,0.8301738965903233,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
1.0,0.08011701656133027,0.0867425284484941,0.08686360308537054,0.006625511887163829,0.8,0.9223312609147741,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
8.0,0.18745662257249154,0.1940813981608368,0.19836708553805416,0.006624775588345261,0.8,0.9449986224480291,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
6.0,0.0916513114599832,0.09814872679102962,0.09937257240301028,0.006497415331046419,0.8,0.9222998785649512,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
1.0,0.15838321905896727,0.16500428142511442,0.1688347292486117,0.006621062366147151,0.8,0.938096206650384,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
7.0,0.07419058343432128,0.08074567351184542,0.0825139769296228,0.006555090077524139,0.8,0.8991274714294689,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
1.0,0.036944057698132256,0.04354682361159233,0.04486217118584605,0.006602765913460075,0.8,0.8235013313352085,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
0.0,0.11840393880522448,0.12500723540926906,0.12696197167291892,0.006603296604044573,0.8,0.9325937305877562,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
3.0,0.07070896015609247,0.07752736243432638,0.0792590039369426,0.006818402278233909,0.8,0.8921252683461374,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
0.0,0.41633256472870117,0.4230053828212818,0.42469568099510097,0.006672818092580635,0.8,0.9803079790055688,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
6.0,0.10241410526347025,0.10901625814879784,0.11351109009417673,0.006602152885327589,0.8,0.9022387607986176,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
4.0,0.15365207286579374,0.1602307926754134,0.16760316870377406,0.00657871980961966,0.8,0.9167611451151152,1199.0,10.0,0.0,0.0,0.0,0.0,1.0
