winning_agent,winning_bid_value,winner_aggregated_signal,signal_max,Profit,Probability,efficiency,auction_time,N,A,L,S,B,Delay
6.0,0.12548868720030978,0.13188388361099862,0.13188388361099862,0.006395196410688836,0.9887824672099141,0.9515088861839105,1200.0,4.0,4.0,0.0,0.0,4.0,1.0
1.0,0.17810615236108404,0.18446442331406496,0.18446442331406496,0.006358270952980916,0.9882706230515681,0.9655311802744995,1204.0,4.0,4.0,0.0,0.0,4.0,1.0
11.0,0.113893340324287,0.1205091053891135,0.1205091053891135,0.006615765064826501,0.9978472540578028,0.9451015336686405,1205.0,4.0,4.0,0.0,0.0,4.0,1.0
11.0,0.04902079539389786,0.05567114552879483,0.0557007840516936,0.006650350134896975,0.9811097759433692,0.8800737050380418,1203.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.040290906580612865,0.04668744579180162,0.04668744579180162,0.006396539211188754,0.9954141385691911,0.8629923076170511,1195.0,4.0,4.0,0.0,0.0,4.0,1.0
7.0,0.0660805839451837,0.07261956214961951,0.07284483686436342,0.006538978204435816,0.9775676599980627,0.9071416285580443,1206.0,4.0,4.0,0.0,0.0,4.0,1.0
10.0,0.3909376428216678,0.3976419289039729,0.3979034325406144,0.006704286082305055,0.977592509998059,0.9824937682128803,1205.0,4.0,4.0,0.0,0.0,4.0,1.0
1.0,0.08096932276919344,0.08751199828010599,0.08751307077055093,0.006542675510912546,0.9399001497204214,0.9252254783915145,1204.0,4.0,4.0,0.0,0.0,4.0,1.0
1.0,0.3396409529536485,0.3461984263243666,0.3461984263243666,0.006557473370718103,0.9888125213653707,0.9810586274457118,1200.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.06953909252479558,0.07601542745071287,0.0760208851622408,0.0064763349259172875,0.963790339718199,0.9147366855356652,1197.0,4.0,4.0,0.0,0.0,4.0,1.0
5.0,0.15455596933074875,0.16143502988790795,0.16172838584744398,0.0068790605571592,0.9952446984771846,0.9556514678662479,1202.0,4.0,4.0,0.0,0.0,4.0,1.0
8.0,0.07842323309931963,0.08505402792415895,0.08505402792415895,0.006630794824839317,0.9838015182099799,0.9220402021318512,1192.0,4.0,4.0,0.0,0.0,4.0,1.0
3.0,0.17605468375707714,0.18241682992419458,0.18241682992419458,0.006362146167117444,0.9940101698887632,0.9651230307545564,1195.0,4.0,4.0,0.0,0.0,4.0,1.0
1.0,0.15390238305864898,0.16046555249031041,0.16047192798321977,0.006563169431661436,0.9707891214021563,0.959061095562722,1195.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.05986701481175488,0.06650328952145929,0.06675074585795612,0.006636274709704404,0.931390178402627,0.8968740954468187,1201.0,4.0,4.0,0.0,0.0,4.0,1.0
5.0,0.10666753972234541,0.11321388056874973,0.11321388056874973,0.006546340846404319,0.9533710759561633,0.9421772240866788,1199.0,4.0,4.0,0.0,0.0,4.0,1.0
7.0,0.14917329160983847,0.15574231888905016,0.15576326391657874,0.006569027279211687,0.9951731269993589,0.9576923843206725,1196.0,4.0,4.0,0.0,0.0,4.0,1.0
0.0,0.11087637812561937,0.1173406784711237,0.11757189506528057,0.006464300345504326,0.9053570035944175,0.943051722216916,1205.0,4.0,4.0,0.0,0.0,4.0,1.0
11.0,0.21890758857730294,0.22546259578116176,0.22546259578116176,0.00655500720385882,0.9863190404324913,0.9709264094066351,1202.0,4.0,4.0,0.0,0.0,4.0,1.0
2.0,0.09656412802115383,0.10300693784601513,0.10300693784601513,0.006442809824861298,0.97660466908362,0.9374526613489603,1208.0,4.0,4.0,0.0,0.0,4.0,1.0
10.0,0.042931015878001855,0.04928427638760638,0.04929979062296247,0.006353260509604525,0.9726537017528007,0.8708153794471853,1199.0,4.0,4.0,0.0,0.0,4.0,1.0
