winning_agent,winning_bid_value,winner_aggregated_signal,signal_max,Profit,Probability,efficiency,auction_time,N,A,L,S,B,Delay
4.0,0.3335064766282868,0.33998643325405953,0.3400096068075531,0.00647995662577272,0.9794429636477385,0.9808736869515952,1194.0,4.0,4.0,0.0,4.0,0.0,1.0
5.0,0.1288647939080688,0.1353146326289608,0.13533917793348868,0.006449838720891998,0.9529679191412606,0.9521617899245578,1193.0,4.0,4.0,0.0,4.0,0.0,1.0
5.0,0.0960001160288678,0.10252403989552719,0.10253498552879292,0.006523923866659398,0.9542951775921061,0.936266929124498,1206.0,4.0,4.0,0.0,4.0,0.0,1.0
7.0,0.10192320518053434,0.1084789762247354,0.1084789762247354,0.006555771044201061,0.9854645177014594,0.9395664369967919,1167.0,4.0,4.0,0.0,4.0,0.0,1.0
1.0,0.1934452522408811,0.20001668382803525,0.20032984495716982,0.006571431587154147,0.9650562315352469,0.9656337141489795,1177.0,4.0,4.0,0.0,4.0,0.0,1.0
3.0,0.792330400517716,0.7989172283813409,0.7989172283813409,0.006586827863624967,0.9702675201663135,0.9917553062699995,1230.0,4.0,4.0,0.0,4.0,0.0,1.0
4.0,0.09368794178582909,0.1001208547827351,0.1001208547827351,0.006432912996906001,0.9913123798648074,0.9357485210162698,1208.0,4.0,4.0,0.0,4.0,0.0,1.0
6.0,0.11782662371641112,0.12426640187720789,0.12459803793202515,0.006439778160796772,0.9770180352180909,0.9456539257920883,1203.0,4.0,4.0,0.0,4.0,0.0,1.0
5.0,0.041441927082047685,0.04812446897295662,0.04812446897295662,0.006682541890908937,0.9896248721065923,0.8611404544606162,1163.0,4.0,4.0,0.0,4.0,0.0,1.0
6.0,0.1509274518403328,0.15748662372980365,0.15748662372980365,0.006559171889470861,0.9332212956443426,0.9583509269922232,1214.0,4.0,4.0,0.0,4.0,0.0,1.0
5.0,0.09520115341706457,0.10169248948669071,0.10220705705338401,0.0064913360696261385,0.9708230309760634,0.9314538170034564,1197.0,4.0,4.0,0.0,4.0,0.0,1.0
8.0,0.16409808605304202,0.17063795610868301,0.17063795610868301,0.006539870055640995,0.9984635275043168,0.9616740014661473,1200.0,4.0,4.0,0.0,4.0,0.0,1.0
0.0,0.2283848749692444,0.2348899041436001,0.2348899041436001,0.006505029174355692,0.997295443963644,0.972306050368266,1187.0,4.0,4.0,0.0,4.0,0.0,1.0
5.0,0.052275612015093204,0.05872192044463115,0.058842909166406686,0.006446308429537945,0.8920178400871105,0.8883927180972429,1178.0,4.0,4.0,0.0,4.0,0.0,1.0
8.0,0.16738266588623743,0.17396031222045433,0.17396031222045433,0.006577646334216897,0.9990839079416404,0.962188810480627,1182.0,4.0,4.0,0.0,4.0,0.0,1.0
0.0,0.06648481466123293,0.07298092080291065,0.07298092080291065,0.006496106141677713,0.9906545020557757,0.9109889808156733,1194.0,4.0,4.0,0.0,4.0,0.0,1.0
6.0,0.04280137186166254,0.04950344492727145,0.04953651328776837,0.00670207306560891,0.9980264481682248,0.8640368290158024,1209.0,4.0,4.0,0.0,4.0,0.0,1.0
1.0,0.1403520017099234,0.1467823348937315,0.1467823348937315,0.00643033318380809,0.9248958281561084,0.9561913687470391,1177.0,4.0,4.0,0.0,4.0,0.0,1.0
7.0,0.1476250471406974,0.15418215050658562,0.15418908429390665,0.006557103365888217,0.979839588029267,0.9574286520782674,1201.0,4.0,4.0,0.0,4.0,0.0,1.0
