winning_agent,winning_bid_value,winner_aggregated_signal,signal_max,Profit,Probability,efficiency,auction_time,N,A,L,S,B,Delay
5.0,0.1105789120817233,0.11703551455391015,0.11707044829015509,0.006456602472186851,0.9436456456372186,0.9445501721122418,1200.0,4.0,4.0,0.0,0.0,4.0,1.0
11.0,0.3771829446230402,0.06899670316585482,0.06907576655557371,-0.3081862414571854,0.8766158452951076,5.460423581685253,1191.0,4.0,4.0,0.0,0.0,4.0,1.0
3.0,0.03562290273541167,0.042293302589192325,0.042293302589192325,0.006670399853780658,0.9766706100572331,0.8422823604348831,1212.0,4.0,4.0,0.0,0.0,4.0,1.0
1.0,0.14452127421964478,0.15114181111547487,0.1511825953025928,0.006620536895830087,0.9621371849871756,0.9559385717012243,1217.0,4.0,4.0,0.0,0.0,4.0,1.0
5.0,0.039999673946104805,0.04653692875816674,0.04664362180757663,0.006537254812061938,0.9426423167996385,0.857559348867017,1213.0,4.0,4.0,0.0,0.0,4.0,1.0
3.0,0.17332769275874604,0.17992210048707047,0.17992210048707047,0.006594407728324425,0.9945428352450821,0.9633485396709321,1205.0,4.0,4.0,0.0,0.0,4.0,1.0
8.0,0.39513076749538606,0.352412714147523,0.3530581495025472,-0.04271805334786305,0.9895531345064114,1.119166256471118,1189.0,4.0,4.0,0.0,0.0,4.0,1.0
2.0,0.06372435078709651,0.07034411220408969,0.07034411220408969,0.006619761416993178,0.9744545312235426,0.9058945914650649,1203.0,4.0,4.0,0.0,0.0,4.0,1.0
10.0,0.3825532285845756,0.07671545738403723,0.07671545738403723,-0.30583777120053834,0.9914536106174905,4.98665121253877,1194.0,4.0,4.0,0.0,0.0,4.0,1.0
6.0,0.11814191647782513,0.12470800356803804,0.12470823247626264,0.006566087090212919,0.9653111645749377,0.9473465715289697,1214.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.37017130093105255,0.05327839118731415,0.05332540454116666,-0.3168929097437384,0.9780604135599713,6.941743885792449,1189.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.3574897430835814,0.2992664634132637,0.3080600079087553,-0.05822327967031771,0.8672588056641013,1.1604548915984796,1191.0,4.0,4.0,0.0,0.0,4.0,1.0
3.0,0.10013110054528898,0.10668609184502328,0.10668609184502328,0.006554991299734303,0.9462971713453106,0.9385581458053937,1239.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.3904729802787241,0.08475280011008399,0.08527739912230842,-0.3057201801686401,0.9738633825374056,4.578856582137213,1194.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.38889755580900304,0.058937500296839876,0.0740452122496908,-0.3299600555121632,0.8603433082407759,5.252163428171239,1174.0,4.0,4.0,0.0,0.0,4.0,1.0
0.0,0.1092035413446866,0.11579070877326696,0.11579070877326696,0.006587167428580357,0.9960989078138127,0.9431114335652019,1214.0,4.0,4.0,0.0,0.0,4.0,1.0
10.0,0.3974852370640614,0.05624586912859068,0.05675610483362008,-0.3412393679354707,0.8189618675672619,7.003391762512336,1180.0,4.0,4.0,0.0,0.0,4.0,1.0
4.0,0.12314592230264725,0.12975002846622047,0.13011969530077847,0.006604106163573223,0.8821179527015726,0.9464049390677485,1203.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.39620525478059204,0.061833259302543214,0.06417563461384693,-0.33437199547804886,0.9086491916435532,6.173764500571131,1198.0,4.0,4.0,0.0,0.0,4.0,1.0
5.0,0.14718442810206236,0.15378593562780377,0.15378593562780377,0.006601507525741401,0.9668627875683912,0.9570733988203023,1215.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.08617965810370434,0.09293589064038912,0.09300856660620774,0.006756232536684781,0.9242092827117842,0.9265776395478005,1206.0,4.0,4.0,0.0,0.0,4.0,1.0
8.0,0.14311445757646138,0.1495604962773458,0.1495604962773458,0.006446038700884421,0.9620411088556058,0.9569001249572557,1202.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.06042912950099903,0.0670343644001397,0.06737129141182487,0.006605234899140666,0.8852506789960134,0.8969566744922547,1219.0,4.0,4.0,0.0,0.0,4.0,1.0
10.0,0.3644850686745449,0.07336997325075158,0.07460243187905033,-0.2911150954237933,0.8797270563842697,4.885699560913358,1189.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.35240707801791404,0.03250148136464619,0.03359310132555501,-0.31990559665326784,0.9426454889972067,10.490459770376434,1196.0,4.0,4.0,0.0,0.0,4.0,1.0
8.0,0.3976462493105858,0.049644192007813476,0.05576661719478391,-0.34800205730277234,0.8817906400519396,7.13054277475126,1190.0,4.0,4.0,0.0,0.0,4.0,1.0
4.0,0.10957814224997678,0.11636832940675705,0.11646053293327695,0.006790187156780272,0.9555665613087345,0.9409036648729466,1214.0,4.0,4.0,0.0,0.0,4.0,1.0
7.0,0.2190780447901542,0.22540002351775149,0.22540002351775149,0.006321978727597294,0.997893069034977,0.9719521824845799,1216.0,4.0,4.0,0.0,0.0,4.0,1.0
7.0,0.054381736191349325,0.06090095837602355,0.06090095837602355,0.006519222184674225,0.999215395335821,0.8929537012468294,1217.0,4.0,4.0,0.0,0.0,4.0,1.0
8.0,0.37770515413707234,0.29249790432758677,0.29249790432758677,-0.08520724980948557,0.9449320106036779,1.2913089240942275,1178.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.36517295764663943,0.3716000899647217,0.37256708214621714,0.006427132318082285,0.9589868680398925,0.9801535754125593,1208.0,4.0,4.0,0.0,0.0,4.0,1.0
11.0,0.37564626364391107,0.03815160666072503,0.048474670545641516,-0.33749465698318604,0.8387110407580586,7.7493309271740145,1198.0,4.0,4.0,0.0,0.0,4.0,1.0
0.0,0.12581564980045146,0.13246245909841076,0.13246245909841076,0.0066468092979593,0.9977710704606291,0.9498211844835135,1215.0,4.0,4.0,0.0,0.0,4.0,1.0
9.0,0.3626669602138974,0.09536438052195716,0.100252701959975,-0.2673025796919402,0.9113136712675587,3.617528037884594,1183.0,4.0,4.0,0.0,0.0,4.0,1.0
