winning_agent,winning_bid_value,winner_aggregated_signal,signal_max,Profit,Probability,efficiency,auction_time,N,A,L,S,B,Delay
3.0,0.30872463053922444,0.31520120343325503,0.31520120343325503,0.0064765728940305856,0.998033535559894,0.9794525756136524,1207.0,4.0,4.0,0.0,4.0,0.0,1.0
4.0,0.1225924289318016,0.12979942196001826,0.1320357257686243,0.00720699302821666,0.9076608944811295,0.9284792295278411,1194.0,4.0,4.0,0.0,4.0,0.0,1.0
2.0,0.06313140689453861,0.06969670547926625,0.06969670547926625,0.0065652985847276385,0.9910398507089411,0.9058018805970575,1209.0,4.0,4.0,0.0,4.0,0.0,1.0
3.0,0.17569131503680832,0.18229650763469407,0.18230417450588515,0.006605192597885751,0.9369372783951979,0.9637262312451141,1210.0,4.0,4.0,0.0,4.0,0.0,1.0
7.0,0.0424571237550732,0.04896208187508467,0.04896208187508467,0.006504958120011471,0.9944242165099704,0.8671429426426892,1185.0,4.0,4.0,0.0,4.0,0.0,1.0
0.0,0.10709808720479441,0.1136354746186475,0.11533016605901454,0.006537387413853082,0.9707857636445707,0.9286216335628289,1192.0,4.0,4.0,0.0,4.0,0.0,1.0
4.0,0.18058850554432035,0.1870922825498717,0.18769100875727968,0.006503777005551353,0.9851620261123089,0.9621585324732086,1189.0,4.0,4.0,0.0,4.0,0.0,1.0
7.0,0.06231603078013392,0.06891140650025758,0.06891140650025758,0.006595375720123663,0.9895137288375926,0.9042919589792583,1194.0,4.0,4.0,0.0,4.0,0.0,1.0
5.0,0.06725173571081927,0.07375749299515125,0.0738402388530414,0.0065057572843319755,0.9641170496871594,0.9107735396775364,1171.0,4.0,4.0,0.0,4.0,0.0,1.0
3.0,0.047915759751780466,0.05453998183499441,0.05510203771652325,0.006624222083213942,0.9560049219527945,0.8695823555253409,1188.0,4.0,4.0,0.0,4.0,0.0,1.0
3.0,0.15261564469728048,0.1590869652362128,0.15908716408770054,0.006471320538932318,0.9763686605643442,0.9593209205310085,1200.0,4.0,4.0,0.0,4.0,0.0,1.0
8.0,0.060045902770685215,0.06676200652309425,0.0676503787722094,0.006716103752409032,0.9317646028453836,0.887591523661238,1218.0,4.0,4.0,0.0,4.0,0.0,1.0
10.0,0.07932943706713746,0.08581746658395716,0.08581746658395716,0.0064880295168196905,0.9986351282203534,0.9243973310436483,1213.0,4.0,4.0,0.0,4.0,0.0,1.0
7.0,0.15226552001859364,0.15903344210263243,0.15920828998482708,0.0067679220840387855,0.9457508857138982,0.9563919066846638,1186.0,4.0,4.0,0.0,4.0,0.0,1.0
10.0,0.15191971244858535,0.15836094586339533,0.15843166107079865,0.006441233414809983,0.9867907686859653,0.9588974288459723,1226.0,4.0,4.0,0.0,4.0,0.0,1.0
5.0,0.08465945044182614,0.09123513055456577,0.09124493216981394,0.006575680112739624,0.9969705896963805,0.9278263288559226,1213.0,4.0,4.0,0.0,4.0,0.0,1.0
5.0,0.11601850555489009,0.1224830668533444,0.1224830668533444,0.0064645612984543105,0.9437232743249905,0.9472207753730181,1197.0,4.0,4.0,0.0,4.0,0.0,1.0
3.0,0.14230800778921182,0.1488168346649179,0.14890259140991324,0.006508826875706086,0.992260036695413,0.9557120963560183,1188.0,4.0,4.0,0.0,4.0,0.0,1.0
11.0,0.09685540723945184,0.10333999627060039,0.10337854330713384,0.006484589031148555,0.9003300451408349,0.936900483804439,1228.0,4.0,4.0,0.0,4.0,0.0,1.0
3.0,0.047288085271922985,0.05369241226527369,0.05371337001878,0.006404326993350702,0.9736135927610756,0.8803782979058934,1202.0,4.0,4.0,0.0,4.0,0.0,1.0
5.0,0.1365697564298085,0.14328482450212202,0.1435097871238455,0.006715068072313507,0.9765016453129928,0.9516407150123642,1178.0,4.0,4.0,0.0,4.0,0.0,1.0
1.0,0.06329059078826138,0.06982276280949501,0.06982276280949501,0.006532172021233629,0.968194687698989,0.9064463828356941,1208.0,4.0,4.0,0.0,4.0,0.0,1.0
3.0,0.09183154391202457,0.0984186530551192,0.09872097486277245,0.006587109143094627,0.9164744890225691,0.9302130984795828,1194.0,4.0,4.0,0.0,4.0,0.0,1.0
6.0,0.11157516867447806,0.11814214691803762,0.11814214691803762,0.0065669782435595625,0.9965586756524862,0.9444146021138801,1229.0,4.0,4.0,0.0,4.0,0.0,1.0
8.0,0.05222039541765968,0.05872697205920034,0.05874730804756309,0.006506576641540661,0.9722228756806721,0.8888985240886428,1236.0,4.0,4.0,0.0,4.0,0.0,1.0
3.0,0.08767000044550191,0.09414165561947614,0.094206099451779,0.006471655173974231,0.9715646497107459,0.9306191526417809,1195.0,4.0,4.0,0.0,4.0,0.0,1.0
0.0,0.056937560528996636,0.06353439582819197,0.06443748479242399,0.0065968352991953305,0.9493319858699205,0.8836092953102178,1220.0,4.0,4.0,0.0,4.0,0.0,1.0
3.0,0.11045925477275889,0.11688602249556386,0.11961316251154987,0.0064267677228049686,0.9054807480656119,0.9234707322623706,1188.0,4.0,4.0,0.0,4.0,0.0,1.0
1.0,0.11126805342439558,0.11806549699091479,0.11806549699091479,0.006797443566519207,0.9562364543915489,0.9424265027483663,1189.0,4.0,4.0,0.0,4.0,0.0,1.0
7.0,0.058700450563738064,0.06525002092742467,0.06526397393178593,0.006549570363686606,0.9748757868544531,0.8994311413689262,1179.0,4.0,4.0,0.0,4.0,0.0,1.0
10.0,0.1779008918353318,0.18438918832257684,0.18438918832257684,0.006488296487245027,0.9880807600172186,0.9648119472390422,1208.0,4.0,4.0,0.0,4.0,0.0,1.0
7.0,0.05049476548588113,0.057195972016644385,0.057195972016644385,0.006701206530763254,0.9733731322643708,0.8828377891923375,1197.0,4.0,4.0,0.0,4.0,0.0,1.0
0.0,0.2151620366474264,0.22159448582624205,0.22159448582624205,0.0064324491788156635,0.9902089549626987,0.9709719799442144,1183.0,4.0,4.0,0.0,4.0,0.0,1.0
0.0,0.07125394394414344,0.07776431689387231,0.07778713017292821,0.006510372949728865,0.9893830063994185,0.916011990489161,1204.0,4.0,4.0,0.0,4.0,0.0,1.0
6.0,0.10245168893984516,0.1090951702380592,0.10914737793750542,0.006643481298214043,0.9479410980820008,0.9386546051386225,1173.0,4.0,4.0,0.0,4.0,0.0,1.0
3.0,0.09845592454714401,0.1049948572489453,0.1049948572489453,0.006538932701801295,0.9738576160642914,0.937721400141558,1188.0,4.0,4.0,0.0,4.0,0.0,1.0
0.0,0.041552279288845924,0.04796268906084533,0.04796268906084533,0.006410409771999408,0.9820917054485443,0.8663459055878376,1194.0,4.0,4.0,0.0,4.0,0.0,1.0
